,decisionType,term,naturalCourt,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,vote,opinion,direction,majority,firstAgreementPresent,secondAgreementPresent,yearOfCaseInitiate,yearOfDecision,argumentMade,reargMade,usCitePresent,sctCitePresent,ledCitePresent,lawMinorPresent,justiceNameEncode
decisionType,1.0,-0.06123696653314555,-0.03956518510911927,-0.013376962856616987,0.018985253713424362,-0.015355070982395415,0.05862259513252471,0.09184111073781805,0.0014064568940824055,-0.014733244036338907,0.02221449585878981,0.08906845356556219,0.04584230887222018,0.09072964445257183,0.0700072901276149,-0.04660661464930924,0.07355947065419866,-0.039580381064403966,-0.06319156991015579,-0.006431439689001603,0.1795483006828084,-0.01685913873020628,-0.0653989652631094,-0.013669649123898725,-0.015393472404437123,-0.0302774902103435,-0.030343978396481407,-0.026434820850043735,-0.007015982164179422,-0.04904231907998005,-0.04904231907998005,-0.0234115689796272,-0.018036425795656837,0.04878342688682842,-0.02888526761487779,,-0.06174610941868215,0.04178733099177531,-0.052979207144503854,0.19335307486293604,-0.03223368344547116,-0.07833952828115001,-0.07429973302345007,-0.018076065178133212,-0.03006987674072517,-0.06123696653314555,-0.061903204263491135,-0.1014748034134745,0.011395378449168724,-0.022834965363110107,-0.01616655245131996,-0.00918301711568532,-0.08939288485383463,-0.05284498022528821
term,-0.06123696653314555,1.0,0.969084234326136,-0.09314015767610413,0.09402392517258899,0.02874084517430435,-0.007775826094062878,-0.10090878768359973,-0.029951170554532548,-0.013527178190926133,-0.07803134469666981,-0.0787292035723511,-0.243970132701406,-0.1220628422423164,-0.12828345596350293,0.10656431629981827,0.033492648475360924,-0.002949092608476204,0.17487959332679961,0.044905603221068575,0.09522752369377643,-0.07646569014169463,0.05411428266891541,0.00017362388075233635,-0.0599233415844217,-0.08953984724958555,-0.08975348284891183,-0.07972317384308737,-0.02037123129981683,-0.01385503867164423,-0.01385503867164423,0.05496210322834651,0.03808522693549427,0.8055968296254136,0.8578775021274214,,0.0582360708195641,0.012760271524881052,0.8644201617746182,0.03530769878609495,0.031246864875627094,-0.029576071574098396,0.04601083243073177,-0.12118147084734131,-0.13258113544667816,1.0,0.9998270585033829,0.009648446462939986,-0.10449125181589515,0.4088157227598153,0.15176000223124425,0.09412035940834902,0.05779812347920051,0.8787781372139254
naturalCourt,-0.03956518510911927,0.969084234326136,1.0,-0.09374212542783662,0.0949678643020752,0.022937688273294503,-0.0021066460152686056,-0.09230484833246506,-0.019355745011995135,-0.00765261043536581,-0.06861713640742031,-0.07140470131888682,-0.2623532811726975,-0.11467330934018814,-0.12994261306738614,0.1054108443516341,0.026919304559460237,-0.007114322518207438,0.16329829584056998,0.0474799265080318,0.0905591409360472,-0.0749605178948681,0.04875937295348238,0.0010254695335753978,-0.05710091622817794,-0.09185923773716562,-0.09207916502214664,-0.07941233950440078,-0.014277909218728659,-0.029112599522582855,-0.029112599522582855,0.05135126810833662,0.03488602409688379,0.7931239241913035,0.8621108933881665,,0.05053037185705419,0.015135111428975648,0.8450753203820751,0.036344457686176994,0.025050379105554434,-0.02499906731231369,0.04322113061394123,-0.11376249271755294,-0.11273534432222,0.969084234326136,0.9690799183055702,0.010072016035851993,-0.09739302057828815,0.37043355906516845,0.13103852130510826,0.08085304284145044,0.05418906006911267,0.8589531563494772
petitioner,-0.013376962856616987,-0.09314015767610413,-0.09374212542783662,1.0,-0.47136860501683187,0.039867283526204965,0.022750792034513027,-0.04100593355735951,-0.10081575020658151,-0.09161585764643708,0.0002523020656856747,-0.08537354465829107,-0.02657405282935364,-0.03125645892315582,-0.020073028404565506,-0.035327409578114075,-0.0024172505054582565,0.0888642173171262,-0.11058832456976474,-0.06075993834778675,0.004940722662354266,-0.011123316253264843,0.02402235747417478,-0.024566826207146543,-0.004017410843325612,0.16335402803897503,0.16335400238373873,0.0590346604267918,-0.01326473840500199,0.13124902735774024,0.13124902735774024,0.016745626438138966,0.03666787499060076,-0.07323089321745939,-0.06819054910766846,,0.03339875492909334,-0.0567720001871637,-0.08749422391065327,-0.013269563651594924,-0.024064734551248728,0.01950987098178071,-0.004473000224476985,0.01489628247241878,-0.019823283457865198,-0.09314015767610413,-0.09326080689923624,0.010444725369197896,-0.003966753798073722,-0.004101515968428708,2.524429461678458e-05,0.007109713605789488,-0.014045145975942957,-0.0873490400410562
petitionerState,0.018985253713424362,0.09402392517258899,0.0949678643020752,-0.47136860501683187,1.0,0.06144237764142684,-0.018250891870010288,0.07517328553642964,0.12580033678194413,0.24138854595805764,0.08665385715080834,0.03791126269984662,0.009257702989567032,-0.005233522288990029,0.027124088409074893,0.05311271490952966,-0.01638394250762718,-0.01836575017122962,0.1899354999060616,0.08684339502269078,-0.004958365783030088,0.01403200546575225,0.002765558944143189,0.02398397817526151,-0.013773871495319629,-0.04919705253927237,-0.04903803894230615,-0.06030066701320543,-0.00876559897725846,-0.035859194944145786,-0.035859194944145786,-0.0617314220763959,-0.06953807492107822,0.08541217236926141,0.08231323625837321,,-0.023813004842587495,0.03520513315448383,0.09393692076602561,0.021326173964120027,0.009646621192541565,-0.04234009326397721,-0.004643503201845819,-0.01767958433726779,-0.00011617845415541497,0.09402392517258899,0.09469248132408138,-0.006933587590980297,0.010989093424017953,-0.00940219332414202,-0.0010737197800821591,-0.008180272397580459,-0.039646904070122446,0.09372092806820878
respondent,-0.015355070982395415,0.02874084517430435,0.022937688273294503,0.039867283526204965,0.06144237764142684,1.0,-0.5003663214936347,-0.048509575878733585,-0.1203941610212575,-0.10256380821257893,0.07415432664996113,-0.3276643397673282,-0.21660799361110833,-0.2863189133675365,-0.23843255220977813,0.029908684450525903,-0.02037162796988328,0.058763570907102596,0.21469021211697503,-0.08010216811830055,-0.01373432807765611,-0.005783771720238867,-0.003900537621264108,-0.032700182820762466,-0.029636758373997974,0.2167108794247196,0.21681527796826044,-0.02362894324492705,-0.00928930477328937,0.12378969170391871,0.12378969170391871,0.056176524194036855,0.07122821503196845,-0.01128609398902184,0.0571041521865133,,-0.0077589546372823495,-0.013859974034595901,0.02936139082734241,-0.012229133153729787,-0.006699414906396758,-0.04122638952661997,-0.013370389976880205,-0.002694841606847554,-0.01434457999114773,0.02874084517430435,0.028473388857759564,0.0720154652417991,0.0251361083099547,0.014345980181527048,-0.005078387795360802,-0.016891578838548187,0.024222162346776748,0.02792743503752611
respondentState,0.05862259513252471,-0.007775826094062878,-0.0021066460152686056,0.022750792034513027,-0.018250891870010288,-0.5003663214936347,1.0,0.13049868012230878,0.13993555905085175,0.22603189870179718,0.0014635429355024864,0.35864007633461215,0.38112239865565073,0.34056644439379097,0.4404213901749755,-0.017416271931263713,-0.028886727564296437,-0.009158816544022407,-0.18149852193433383,0.14989255575770893,0.06232488153864027,-0.018930742403245153,-0.023779650322117797,0.049032909383143954,0.00793662845500994,-0.11257957197931368,-0.11245529139850206,0.04966163579001544,0.002874182419185099,-0.07811722988773764,-0.07811722988773764,-0.1264669133287304,-0.13640789179042676,0.01265685715612906,-0.03026280083283489,,-0.0037523950268803113,0.024601483805708178,-0.003496034178710087,0.018985807436270413,0.01609511990789806,0.03605080774399695,0.006314963930142777,-0.00586243778790044,-0.0020249776442943846,-0.007775826094062878,-0.007137131831760635,-0.08684138735853458,-0.007330680553065336,-0.03620181923081516,-0.0008961014833458977,-0.002173518594547272,-0.09207351556093249,-0.002709080048659478
jurisdiction,0.09184111073781805,-0.10090878768359973,-0.09230484833246506,-0.04100593355735951,0.07517328553642964,-0.048509575878733585,0.13049868012230878,1.0,0.06606517950295686,0.05077924177035699,0.2727483101137458,0.03730786036467028,0.022197876665219746,0.08179861983500589,0.04713776644993694,-0.08019756802155324,-0.4596357208075723,-0.07206628733171874,0.002888232752690901,0.10663325958584473,0.13623069342695168,0.05669542364084196,-0.08085623741993041,0.040853695063428404,-0.003596129158595845,0.03043936702540346,0.03034247831858869,0.010464969416335488,0.0035667479403727366,-0.05107453282212776,-0.05107453282212776,-0.05066849354772448,-0.051706475795291716,-0.08398398519441262,-0.07161778773417542,,-0.007784578931378012,-0.007059305760791978,-0.08420103008242442,-0.003935023537156534,6.0698557179764506e-05,-0.03875747727585975,-0.004702030777580724,0.012662944183060916,-0.0011006548655871438,-0.10090878768359973,-0.10149838618796511,-0.12355084253522212,0.057754062610421895,-0.06233604593097366,-0.022742081961376923,-0.015536375467842048,-0.042082359217238595,-0.0858714838586592
adminAction,0.0014064568940824055,-0.029951170554532548,-0.019355745011995135,-0.10081575020658151,0.12580033678194413,-0.1203941610212575,0.13993555905085175,0.06606517950295686,1.0,0.5997539944193613,0.060536081241755156,0.20934935708762006,0.12391575405694369,0.1847678390053808,0.15596891558614825,-0.015902205479553774,-0.08498173677975421,-0.059495612094928034,0.02766809334953569,0.13800705927721815,-0.006182127664109656,-0.0152861719233215,-0.019590183275874057,0.014681341243221156,0.021735401488393986,-0.034442208853720624,-0.034292228569880664,0.007244269445770859,-0.008071579465831319,-0.07168059901930428,-0.07168059901930428,-0.0874338453712621,-0.09246582843369852,-0.01389754691342452,-0.019952236277901332,,0.011842858035442808,-0.003391218865620926,-0.016795233187205116,0.014685146678446045,0.012982415122763019,0.022786693901372196,0.009866626925339642,-0.0030596760889558274,0.002836929637322416,-0.029951170554532548,-0.02975727860643184,-0.003893771357802423,-0.010929172224430007,-0.029372830589720757,0.006794090884879038,0.006625991112475421,-0.06136579795988859,-0.017414700576300273
adminActionState,-0.014733244036338907,-0.013527178190926133,-0.00765261043536581,-0.09161585764643708,0.24138854595805764,-0.10256380821257893,0.22603189870179718,0.05077924177035699,0.5997539944193613,1.0,0.0678556836497215,0.1686162082277837,0.17458876869023732,0.15085899012598908,0.20452060646167172,-0.0044033468264190875,-0.08380906889828103,-0.024707583321820787,0.07335822126450944,0.12760525676683884,-0.024061797802023208,-0.020553632117132698,-0.008421384330270483,-0.0002903896935216452,0.014968372600004037,-0.0016207786297137545,-0.001457878869776666,-0.006846949489560539,-0.011637079080597714,-0.05522353809440644,-0.05522353809440644,-0.06891615956951391,-0.07254723944778954,0.012850392374382489,0.003915000542948759,,-0.00045307961556228154,0.006490505356602619,0.0042204411768367875,0.0035304027939145216,0.002220575143761829,0.011149816884520755,0.002224023328365179,0.0007646646635592987,0.011054973455437206,-0.013527178190926133,-0.012769117652709779,0.035184461749980134,-0.002632233582751332,-0.03842257534745033,-0.014510982046282374,-0.007323111801712108,-0.028749160078757743,0.0022949151340590727
